,endTime,artistName,trackName,msPlayed
1995,2021-04-24 21:43,Bon Jovi,Livin' On A Prayer,1514
1996,2021-04-24 21:44,Raquel Mello,Quero Descer,6869
1997,2021-04-24 21:44,Arctic Monkeys,R U Mine?,43221
1998,2021-04-24 21:44,The Chainsmokers,Something Just Like This,1898
1999,2021-04-24 21:44,Charles Trenet,"Vous, Qui Passez Sans Me Voir",2965
2000,2021-04-24 21:45,Ava Max,Sweet but Psycho,5247
2001,2021-04-24 21:48,Charles Trenet,"Vous, Qui Passez Sans Me Voir",182016
2002,2021-04-24 21:52,Le Couleur,Femme,235904
2003,2021-04-24 21:52,Line Renaud,Étoile des neiges,682
2004,2021-04-24 21:52,Tino Rossi,Merci chérie,2952
2005,2021-04-24 21:55,Gérard Luc,Je ne veux pas travailler,168920
2006,2021-04-24 21:59,Angèle,Tu me regardes,192173
2007,2021-04-24 21:59,Sacha Distel,La belle vie,3093
2008,2021-04-24 21:59,Vianney,Les filles d'aujourd'hui,8591
2009,2021-04-24 22:02,Angèle,Nombreux,192546
2010,2021-04-24 22:06,Henri Salvador,Jardin d'hiver,168000
2011,2021-04-24 22:09,Linkin Park,Numb,185586
2012,2021-04-24 22:12,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version,185160
2013,2021-04-24 22:13,Serge Gainsbourg,La javanaise,2350
2014,2021-04-25 13:47,Serge Gainsbourg,La javanaise,48128
2015,2021-04-25 13:50,Brigitte Bardot,Un jour comme un autre,140826
2016,2021-04-25 13:50,Charles Trenet,"Vous, Qui Passez Sans Me Voir",27943
2017,2021-04-25 13:51,Dean Martin,Ain't That A Kick In The Head,10218
2018,2021-04-25 13:51,Jean Sablon,Ces petites choses,3157
2019,2021-04-25 13:54,Jean Sablon,Ces petites choses,187853
2020,2021-04-25 13:57,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version,185160
2021,2021-04-25 14:00,Nat King Cole,L-O-V-E,155306
2022,2021-04-25 14:01,Serge Gainsbourg,La javanaise,48676
2023,2021-04-25 14:07,Louise Verneuil,À mort amant,366413
2024,2021-04-25 14:08,Symon,Paris,53673
2025,2021-04-25 14:11,Angèle,Nombreux,192546
2026,2021-04-25 14:14,Frank Sinatra,Come Fly With Me - Remastered,3135
2027,2021-04-25 14:14,Elvis Presley,Can't Help Falling in Love,3210
